,States,Years,Quarter,Districts,Registered_users,Appopens
5633,Jammu & Kashmir,2018,3,kishtwar district,2822,0
5634,Jammu & Kashmir,2018,3,pulwama district,15427,0
5635,Jammu & Kashmir,2018,3,ramban district,4202,0
5636,Jammu & Kashmir,2018,3,rajouri district,11534,0
5637,Jammu & Kashmir,2018,3,kulgam district,10305,0
5638,Jammu & Kashmir,2018,3,budgam district,22301,0
5639,Jammu & Kashmir,2018,3,anantnag district,20234,0
5640,Jammu & Kashmir,2018,3,kupwara district,15754,0
5641,Jammu & Kashmir,2018,4,muzaffarabad district,136,0
5642,Jammu & Kashmir,2018,4,doda district,7669,0
5643,Jammu & Kashmir,2018,4,samba district,17595,0
5644,Jammu & Kashmir,2018,4,mirpur district,1515,0
5645,Jammu & Kashmir,2018,4,srinagar district,44328,0
5646,Jammu & Kashmir,2018,4,baramulla district,37661,0
5647,Jammu & Kashmir,2018,4,jammu district,113005,0
5648,Jammu & Kashmir,2018,4,ganderbal district,9327,0
5649,Jammu & Kashmir,2018,4,udhampur district,21123,0
5650,Jammu & Kashmir,2018,4,bandipore district,10397,0
5651,Jammu & Kashmir,2018,4,reasi district,9290,0
5652,Jammu & Kashmir,2018,4,shopian district,5919,0
5653,Jammu & Kashmir,2018,4,poonch district,8555,0
5654,Jammu & Kashmir,2018,4,kathua district,21030,0
5655,Jammu & Kashmir,2018,4,kishtwar district,3753,0
5656,Jammu & Kashmir,2018,4,pulwama district,18846,0
5657,Jammu & Kashmir,2018,4,ramban district,5615,0
5658,Jammu & Kashmir,2018,4,rajouri district,15661,0
5659,Jammu & Kashmir,2018,4,kulgam district,12488,0
5660,Jammu & Kashmir,2018,4,budgam district,27710,0
5661,Jammu & Kashmir,2018,4,anantnag district,24448,0
5662,Jammu & Kashmir,2018,4,kupwara district,20492,0
5663,Jammu & Kashmir,2019,1,muzaffarabad district,170,0
5664,Jammu & Kashmir,2019,1,doda district,9896,0
5665,Jammu & Kashmir,2019,1,samba district,21495,0
5666,Jammu & Kashmir,2019,1,mirpur district,1891,0
5667,Jammu & Kashmir,2019,1,srinagar district,52762,0
5668,Jammu & Kashmir,2019,1,baramulla district,45150,0
5669,Jammu & Kashmir,2019,1,jammu district,134408,0
5670,Jammu & Kashmir,2019,1,ganderbal district,11236,0
5671,Jammu & Kashmir,2019,1,udhampur district,25515,0
5672,Jammu & Kashmir,2019,1,bandipore district,12419,0
5673,Jammu & Kashmir,2019,1,reasi district,11440,0
5674,Jammu & Kashmir,2019,1,shopian district,7625,0
5675,Jammu & Kashmir,2019,1,poonch district,10838,0
5676,Jammu & Kashmir,2019,1,kathua district,25620,0
5677,Jammu & Kashmir,2019,1,kishtwar district,4732,0
5678,Jammu & Kashmir,2019,1,pulwama district,23230,0
5679,Jammu & Kashmir,2019,1,ramban district,7125,0
5680,Jammu & Kashmir,2019,1,rajouri district,19212,0
5681,Jammu & Kashmir,2019,1,kulgam district,16003,0
5682,Jammu & Kashmir,2019,1,budgam district,34255,0
5683,Jammu & Kashmir,2019,1,anantnag district,30103,0
5684,Jammu & Kashmir,2019,1,kupwara district,25544,0
5685,Jammu & Kashmir,2019,2,muzaffarabad district,216,1171
5686,Jammu & Kashmir,2019,2,doda district,12220,53698
5687,Jammu & Kashmir,2019,2,samba district,25990,105880
5688,Jammu & Kashmir,2019,2,mirpur district,2250,13135
5689,Jammu & Kashmir,2019,2,srinagar district,62190,312300
5690,Jammu & Kashmir,2019,2,baramulla district,53196,212011
5691,Jammu & Kashmir,2019,2,jammu district,160241,581746
5692,Jammu & Kashmir,2019,2,ganderbal district,13224,73122
5693,Jammu & Kashmir,2019,2,udhampur district,29856,131187
5694,Jammu & Kashmir,2019,2,bandipore district,14951,65247
5695,Jammu & Kashmir,2019,2,reasi district,13784,72385
5696,Jammu & Kashmir,2019,2,shopian district,8946,37320
5697,Jammu & Kashmir,2019,2,poonch district,13450,69010
5698,Jammu & Kashmir,2019,2,kathua district,30602,122544
5699,Jammu & Kashmir,2019,2,kishtwar district,6001,27103
5700,Jammu & Kashmir,2019,2,pulwama district,27167,136747
5701,Jammu & Kashmir,2019,2,ramban district,8694,48805
5702,Jammu & Kashmir,2019,2,rajouri district,23118,103450
5703,Jammu & Kashmir,2019,2,kulgam district,18853,71690
5704,Jammu & Kashmir,2019,2,budgam district,39965,174075
5705,Jammu & Kashmir,2019,2,anantnag district,35488,140564
5706,Jammu & Kashmir,2019,2,kupwara district,30791,152183
5707,Jammu & Kashmir,2019,3,muzaffarabad district,207,1501
5708,Jammu & Kashmir,2019,3,doda district,12682,68944
5709,Jammu & Kashmir,2019,3,samba district,27579,160172
5710,Jammu & Kashmir,2019,3,mirpur district,2372,18542
5711,Jammu & Kashmir,2019,3,srinagar district,64758,386951
5712,Jammu & Kashmir,2019,3,baramulla district,54404,249467
5713,Jammu & Kashmir,2019,3,jammu district,169849,975045
5714,Jammu & Kashmir,2019,3,ganderbal district,13453,109345
5715,Jammu & Kashmir,2019,3,udhampur district,31297,204871
5716,Jammu & Kashmir,2019,3,bandipore district,15313,80343
5717,Jammu & Kashmir,2019,3,reasi district,14489,118236
5718,Jammu & Kashmir,2019,3,shopian district,9142,38069
5719,Jammu & Kashmir,2019,3,poonch district,14139,94475
5720,Jammu & Kashmir,2019,3,kathua district,32213,208424
5721,Jammu & Kashmir,2019,3,kishtwar district,6229,38662
5722,Jammu & Kashmir,2019,3,pulwama district,27963,176462
5723,Jammu & Kashmir,2019,3,ramban district,9065,75108
5724,Jammu & Kashmir,2019,3,rajouri district,24275,147846
5725,Jammu & Kashmir,2019,3,kulgam district,19220,80917
5726,Jammu & Kashmir,2019,3,budgam district,41004,208701
5727,Jammu & Kashmir,2019,3,anantnag district,36371,207023
5728,Jammu & Kashmir,2019,3,kupwara district,32431,194815
5729,Jammu & Kashmir,2019,4,muzaffarabad district,223,31
5730,Jammu & Kashmir,2019,4,doda district,13016,14365
5731,Jammu & Kashmir,2019,4,samba district,28333,59968
5732,Jammu & Kashmir,2019,4,mirpur district,2521,3319
5733,Jammu & Kashmir,2019,4,srinagar district,65611,28258
5734,Jammu & Kashmir,2019,4,baramulla district,55042,6479
5735,Jammu & Kashmir,2019,4,jammu district,174858,486244
5736,Jammu & Kashmir,2019,4,ganderbal district,13506,4644
5737,Jammu & Kashmir,2019,4,udhampur district,32252,79671
5738,Jammu & Kashmir,2019,4,bandipore district,15366,2312
5739,Jammu & Kashmir,2019,4,reasi district,15021,61611
5740,Jammu & Kashmir,2019,4,shopian district,9308,1093
5741,Jammu & Kashmir,2019,4,poonch district,14810,19155
5742,Jammu & Kashmir,2019,4,kathua district,33481,128868
5743,Jammu & Kashmir,2019,4,kishtwar district,6397,9507
5744,Jammu & Kashmir,2019,4,pulwama district,28336,9905
5745,Jammu & Kashmir,2019,4,ramban district,9304,14758
5746,Jammu & Kashmir,2019,4,rajouri district,25297,42098
5747,Jammu & Kashmir,2019,4,kulgam district,19304,1847
5748,Jammu & Kashmir,2019,4,budgam district,41377,14190
5749,Jammu & Kashmir,2019,4,anantnag district,36725,4724
5750,Jammu & Kashmir,2019,4,kupwara district,33279,5525
5751,Jammu & Kashmir,2020,1,muzaffarabad district,240,1138
5752,Jammu & Kashmir,2020,1,doda district,14537,88134
5753,Jammu & Kashmir,2020,1,samba district,31570,209115
5754,Jammu & Kashmir,2020,1,mirpur district,2835,23464
5755,Jammu & Kashmir,2020,1,srinagar district,70755,383851
5756,Jammu & Kashmir,2020,1,baramulla district,59123,288334
5757,Jammu & Kashmir,2020,1,jammu district,191031,1199860
5758,Jammu & Kashmir,2020,1,ganderbal district,14573,80254
5759,Jammu & Kashmir,2020,1,udhampur district,35408,262540
5760,Jammu & Kashmir,2020,1,bandipore district,16451,83494
5761,Jammu & Kashmir,2020,1,reasi district,16592,136328
5762,Jammu & Kashmir,2020,1,shopian district,10313,57817
5763,Jammu & Kashmir,2020,1,poonch district,16495,115169
5764,Jammu & Kashmir,2020,1,kathua district,37300,272391
5765,Jammu & Kashmir,2020,1,kishtwar district,7124,49904
5766,Jammu & Kashmir,2020,1,pulwama district,30796,200550
5767,Jammu & Kashmir,2020,1,ramban district,10267,83488
5768,Jammu & Kashmir,2020,1,rajouri district,28089,187260
5769,Jammu & Kashmir,2020,1,kulgam district,21070,96392
5770,Jammu & Kashmir,2020,1,budgam district,44636,248728
5771,Jammu & Kashmir,2020,1,anantnag district,39513,175619
5772,Jammu & Kashmir,2020,1,kupwara district,36690,233064
5773,Jammu & Kashmir,2020,2,muzaffarabad district,266,3534
5774,Jammu & Kashmir,2020,2,doda district,17896,262998
5775,Jammu & Kashmir,2020,2,samba district,37600,470714
5776,Jammu & Kashmir,2020,2,mirpur district,3522,72639
5777,Jammu & Kashmir,2020,2,srinagar district,78458,825852
5778,Jammu & Kashmir,2020,2,baramulla district,66095,677212
5779,Jammu & Kashmir,2020,2,jammu district,220805,2351890
5780,Jammu & Kashmir,2020,2,ganderbal district,16213,180300
5781,Jammu & Kashmir,2020,2,udhampur district,41813,587211
5782,Jammu & Kashmir,2020,2,bandipore district,18357,186996
5783,Jammu & Kashmir,2020,2,reasi district,19514,228746
5784,Jammu & Kashmir,2020,2,shopian district,11870,123790
5785,Jammu & Kashmir,2020,2,poonch district,19815,319509
5786,Jammu & Kashmir,2020,2,kathua district,44719,562924
5787,Jammu & Kashmir,2020,2,kishtwar district,8584,124258
5788,Jammu & Kashmir,2020,2,pulwama district,34565,434688
5789,Jammu & Kashmir,2020,2,ramban district,12068,183807
5790,Jammu & Kashmir,2020,2,rajouri district,33389,494580
5791,Jammu & Kashmir,2020,2,kulgam district,23505,216052
5792,Jammu & Kashmir,2020,2,budgam district,49962,560896
5793,Jammu & Kashmir,2020,2,anantnag district,44423,413847
5794,Jammu & Kashmir,2020,2,kupwara district,41855,574210
5795,Jammu & Kashmir,2020,3,muzaffarabad district,304,6388
5796,Jammu & Kashmir,2020,3,doda district,20833,287357
5797,Jammu & Kashmir,2020,3,samba district,42915,522691
5798,Jammu & Kashmir,2020,3,mirpur district,4128,70985
5799,Jammu & Kashmir,2020,3,srinagar district,87182,1051310
5800,Jammu & Kashmir,2020,3,baramulla district,73162,811950
5801,Jammu & Kashmir,2020,3,jammu district,248814,2720674
5802,Jammu & Kashmir,2020,3,ganderbal district,18259,225894
5803,Jammu & Kashmir,2020,3,udhampur district,47399,661207
5804,Jammu & Kashmir,2020,3,bandipore district,20153,223661
5805,Jammu & Kashmir,2020,3,reasi district,22063,243175
5806,Jammu & Kashmir,2020,3,shopian district,13294,160453
5807,Jammu & Kashmir,2020,3,poonch district,22704,342181
5808,Jammu & Kashmir,2020,3,kathua district,50914,593205
5809,Jammu & Kashmir,2020,3,kishtwar district,9745,126649
5810,Jammu & Kashmir,2020,3,pulwama district,38434,514441
5811,Jammu & Kashmir,2020,3,ramban district,13674,196197
5812,Jammu & Kashmir,2020,3,rajouri district,38071,557098
5813,Jammu & Kashmir,2020,3,kulgam district,25887,249487
5814,Jammu & Kashmir,2020,3,budgam district,55153,667385
5815,Jammu & Kashmir,2020,3,anantnag district,49443,501949
5816,Jammu & Kashmir,2020,3,kupwara district,47288,709117
5817,Jammu & Kashmir,2020,4,muzaffarabad district,339,9273
5818,Jammu & Kashmir,2020,4,doda district,24095,352491
5819,Jammu & Kashmir,2020,4,samba district,48775,710801
5820,Jammu & Kashmir,2020,4,mirpur district,4799,87362
5821,Jammu & Kashmir,2020,4,srinagar district,98923,1535006
5822,Jammu & Kashmir,2020,4,baramulla district,83119,1261348
5823,Jammu & Kashmir,2020,4,jammu district,282463,3834866
5824,Jammu & Kashmir,2020,4,ganderbal district,20465,288341
5825,Jammu & Kashmir,2020,4,udhampur district,53803,864317
5826,Jammu & Kashmir,2020,4,bandipore district,22721,335472
5827,Jammu & Kashmir,2020,4,reasi district,25147,358570
5828,Jammu & Kashmir,2020,4,shopian district,15234,234965
5829,Jammu & Kashmir,2020,4,poonch district,26045,423011
5830,Jammu & Kashmir,2020,4,kathua district,57651,817085
5831,Jammu & Kashmir,2020,4,kishtwar district,11233,171549
5832,Jammu & Kashmir,2020,4,pulwama district,43139,712775
5833,Jammu & Kashmir,2020,4,ramban district,15548,266848
